id,title,intro,poster,pubdate,url,rating,genres,star,comment,tags,star_time,card
3464145457,喜剧之王,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2579932167.jpg,1999-02-13(中国香港),https://movie.douban.com/subject/1302425/,8.8,"喜剧,剧情,爱情",,,,2022-08-19 20:26:40,
3464145425,夏洛特烦恼,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2264377763.jpg,2015-09-30(中国大陆),https://movie.douban.com/subject/25964071/,7.8,"喜剧,爱情",,,,2022-08-19 20:26:39,
3464145381,西西里的美丽传说,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2441988159.jpg,2000-10-27(意大利),https://movie.douban.com/subject/1292402/,8.9,"剧情,战争,情色",,,,2022-08-19 20:26:37,
3464145115,何以为家,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2555295759.jpg,2019-04-29(中国大陆),https://movie.douban.com/subject/30170448/,9.1,剧情,,,,2022-08-19 20:26:23,
3464145097,无名之辈,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2539661066.jpg,2018-11-16(中国大陆),https://movie.douban.com/subject/27110296/,8,"剧情,喜剧",,,,2022-08-19 20:26:22,
3464145076,红海行动,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2514119443.jpg,2018-02-16(中国大陆),https://movie.douban.com/subject/26861685/,8.2,"动作,战争",,,,2022-08-19 20:26:21,
3464145036,剪刀手爱德华,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p480956937.jpg,1990-12-06(美国),https://movie.douban.com/subject/1292370/,8.7,"剧情,奇幻,爱情",,,,2022-08-19 20:26:19,
3464144984,唐伯虎点秋香,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2357915564.jpg,1993-07-01(中国香港),https://movie.douban.com/subject/1306249/,8.7,"喜剧,爱情,古装",,,,2022-08-19 20:26:17,
3464144952,触不可及,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p1454261925.jpg,2011-11-02(法国),https://movie.douban.com/subject/6786002/,9.3,"剧情,喜剧",,,,2022-08-19 20:26:15,
3464144902,情书,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2648230660.jpg,1999-03(中国大陆),https://movie.douban.com/subject/1292220/,8.9,"剧情,爱情",,,,2022-08-19 20:26:13,
3464144880,功夫,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2219011938.jpg,2004-12-23(中国大陆),https://movie.douban.com/subject/1291543/,8.8,"动作,喜剧,犯罪",,,,2022-08-19 20:26:12,
3464144863,唐人街探案3,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2622388983.jpg,2021-02-12(中国大陆),https://movie.douban.com/subject/27619748/,5.3,"喜剧,悬疑",,,,2022-08-19 20:26:11,
3464144805,辛德勒的名单,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p492406163.jpg,1993-11-30(华盛顿首映),https://movie.douban.com/subject/1295124/,9.6,"剧情,历史,战争",,,,2022-08-19 20:26:08,
3464144577,飞屋环游记,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2363116942.jpg,2009-08-04(中国大陆),https://movie.douban.com/subject/2129039/,9.1,"剧情,喜剧,动画",,,,2022-08-19 20:25:57,
3464144558,美丽人生,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2578474613.jpg,2020-01-03(中国大陆),https://movie.douban.com/subject/1292063/,9.6,"剧情,喜剧,爱情",,,,2022-08-19 20:25:56,
3464144518,无间道,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2564556863.jpg,2003-09-05(中国大陆),https://movie.douban.com/subject/1307914/,9.3,"剧情,犯罪,惊悚",,,,2022-08-19 20:25:54,
